Timestamp,Alpha,Beta,Gamma,Alpha_Rel,Beta_Rel,Gamma_Rel,Marker
2025-11-06T17:54:25,0.127,0.164,0.101,0.324,0.418,0.258,
2025-11-06T17:54:26,0.109,0.247,0.078,0.250,0.569,0.181,
2025-11-06T17:54:27,0.133,0.155,0.156,0.299,0.350,0.351,EVENT_1
2025-11-06T17:54:28,0.099,0.242,0.209,0.181,0.439,0.380,
2025-11-06T17:54:29,0.068,0.196,0.114,0.179,0.519,0.301,EVENT_2
2025-11-06T17:54:30,0.069,0.183,0.131,0.180,0.478,0.342,
2025-11-06T17:54:31,0.100,0.290,0.132,0.191,0.556,0.252,
2025-11-06T17:54:32,0.091,0.183,0.126,0.228,0.457,0.315,
