Timestamp,Alpha_L,Beta_L,Gamma_L,Alpha_R,Beta_R,Gamma_R,AlphaL_rel,BetaL_rel,GammaL_rel,AlphaR_rel,BetaR_rel,GammaR_rel,Marker
2025-11-06T19:10:21,1159.374,160.415,167.115,0.004,0.001,0.002,0.780,0.108,0.112,0.563,0.150,0.287,
2025-11-06T19:10:22,1085.999,479.849,112.674,0.003,0.002,0.003,0.647,0.286,0.067,0.334,0.322,0.344,
2025-11-06T19:10:23,5168.149,1246.150,552.497,0.008,0.005,0.004,0.742,0.179,0.079,0.442,0.308,0.250,
2025-11-06T19:10:24,601.160,567.290,151.020,0.001,0.003,0.002,0.456,0.430,0.114,0.175,0.510,0.315,
2025-11-06T19:10:25,4002.037,1091.843,126.500,0.005,0.004,0.002,0.767,0.209,0.024,0.484,0.326,0.190,
2025-11-06T19:10:26,94538.719,29838.062,1010.769,0.010,0.025,0.008,0.754,0.238,0.008,0.230,0.576,0.194,
2025-11-06T19:10:27,41690.783,11346.651,518.022,0.017,0.014,0.008,0.778,0.212,0.010,0.438,0.364,0.197,
2025-11-06T19:10:28,20688.928,11369.542,2094.550,0.007,0.018,0.017,0.606,0.333,0.061,0.166,0.434,0.400,
2025-11-06T19:10:29,154610.153,38277.485,3873.255,0.239,0.155,0.030,0.786,0.195,0.020,0.564,0.366,0.070,
2025-11-06T19:10:30,8211.096,1016.894,144.281,0.003,0.004,0.002,0.876,0.109,0.015,0.340,0.450,0.211,
2025-11-06T19:10:31,2987.112,2231.165,474.981,0.001,0.005,0.004,0.525,0.392,0.083,0.132,0.448,0.420,
2025-11-06T19:10:32,3005.639,1063.420,297.943,0.001,0.003,0.003,0.688,0.244,0.068,0.175,0.393,0.432,
2025-11-06T19:10:33,218780.722,50270.377,2706.743,0.115,0.074,0.022,0.805,0.185,0.010,0.543,0.351,0.106,
2025-11-06T19:10:34,3317.963,1375.098,316.852,0.002,0.003,0.003,0.662,0.274,0.063,0.224,0.406,0.370,
