Timestamp,Alpha_L,Beta_L,Gamma_L,Alpha_R,Beta_R,Gamma_R,AlphaL_rel,BetaL_rel,GammaL_rel,AlphaR_rel,BetaR_rel,GammaR_rel,Marker
2025-11-06T19:10:35,1813.840,301.009,127.180,0.001,0.003,0.002,0.809,0.134,0.057,0.185,0.518,0.298,
2025-11-06T19:10:36,2115.349,331.330,183.255,0.002,0.002,0.003,0.804,0.126,0.070,0.334,0.255,0.412,
2025-11-06T19:10:37,28104.992,8052.016,4125.686,0.016,0.014,0.040,0.698,0.200,0.102,0.228,0.205,0.566,
2025-11-06T19:10:38,1475209.303,505211.175,45224.863,0.741,0.753,0.192,0.728,0.249,0.022,0.440,0.446,0.114,
2025-11-06T19:10:39,53926.898,10079.448,1120.744,0.029,0.014,0.010,0.828,0.155,0.017,0.550,0.262,0.187,
2025-11-06T19:10:40,15244.528,3469.289,599.558,0.009,0.006,0.006,0.789,0.180,0.031,0.433,0.294,0.273,
2025-11-06T19:10:41,508827.557,398843.174,48101.610,0.134,1.020,0.342,0.532,0.417,0.050,0.090,0.682,0.229,
2025-11-06T19:10:42,35101.954,1226.305,443.732,0.031,0.027,0.011,0.955,0.033,0.012,0.456,0.388,0.156,
2025-11-06T19:10:43,5924.485,2259.728,289.107,0.011,0.010,0.004,0.699,0.267,0.034,0.416,0.411,0.173,
2025-11-06T19:10:44,7619.349,2471.504,269.065,0.008,0.003,0.003,0.735,0.239,0.026,0.583,0.206,0.212,
2025-11-06T19:10:45,2152.313,972.497,194.608,0.003,0.002,0.003,0.648,0.293,0.059,0.318,0.289,0.393,
2025-11-06T19:10:46,27007.548,40485.475,13916.655,0.017,0.076,0.090,0.332,0.497,0.171,0.093,0.417,0.490,
2025-11-06T19:10:47,189.124,261.634,166.498,0.001,0.002,0.001,0.306,0.424,0.270,0.151,0.486,0.364,
2025-11-06T19:10:48,474.249,163.159,205.350,0.001,0.001,0.003,0.563,0.194,0.244,0.119,0.279,0.602,
2025-11-06T19:10:49,597.198,240.166,120.263,0.001,0.004,0.002,0.624,0.251,0.126,0.176,0.533,0.291,
2025-11-06T19:10:50,239.734,259.284,137.076,0.001,0.002,0.001,0.377,0.408,0.215,0.188,0.516,0.296,
2025-11-06T19:10:51,9074.341,1230.423,144.810,0.011,0.004,0.002,0.868,0.118,0.014,0.629,0.253,0.117,
2025-11-06T19:10:52,3374.520,732.910,132.553,0.006,0.006,0.003,0.796,0.173,0.031,0.410,0.399,0.192,
2025-11-06T19:10:53,1654.106,1604.061,130.671,0.002,0.003,0.002,0.488,0.473,0.039,0.268,0.436,0.296,
2025-11-06T19:10:54,846.485,337.540,109.591,0.001,0.001,0.002,0.654,0.261,0.085,0.187,0.327,0.486,
2025-11-06T19:10:55,3782.412,537.509,212.162,0.003,0.004,0.003,0.835,0.119,0.047,0.312,0.387,0.301,
2025-11-06T19:10:56,811.338,415.151,112.460,0.002,0.003,0.003,0.606,0.310,0.084,0.294,0.320,0.385,
2025-11-06T19:10:57,283.787,253.528,127.145,0.001,0.002,0.003,0.427,0.382,0.191,0.164,0.318,0.518,
2025-11-06T19:10:58,445.542,142.596,163.218,0.001,0.001,0.002,0.593,0.190,0.217,0.166,0.378,0.456,
2025-11-06T19:10:59,3446.471,768.122,136.768,0.003,0.003,0.002,0.792,0.177,0.031,0.399,0.362,0.239,
2025-11-06T19:11:00,22925.303,2141.560,324.219,0.029,0.011,0.004,0.903,0.084,0.013,0.661,0.249,0.090,
2025-11-06T19:11:01,946.761,205.161,163.518,0.001,0.002,0.003,0.720,0.156,0.124,0.228,0.304,0.468,
2025-11-06T19:11:02,1840.391,1509.657,116.636,0.004,0.006,0.002,0.531,0.435,0.034,0.369,0.475,0.156,
2025-11-06T19:11:03,2316.524,427.825,162.262,0.004,0.003,0.002,0.797,0.147,0.056,0.435,0.391,0.175,
2025-11-06T19:11:04,1915.936,565.284,194.116,0.001,0.003,0.002,0.716,0.211,0.073,0.189,0.443,0.368,
2025-11-06T19:11:05,10055.860,1475.880,296.485,0.008,0.007,0.005,0.850,0.125,0.025,0.428,0.340,0.232,
2025-11-06T19:11:06,4805.469,1939.595,211.165,0.006,0.005,0.003,0.691,0.279,0.030,0.430,0.374,0.195,
2025-11-06T19:11:07,6077.369,958.422,180.370,0.013,0.008,0.004,0.842,0.133,0.025,0.517,0.324,0.159,
2025-11-06T19:11:08,11099.473,5800.424,7124.154,0.039,0.111,0.295,0.462,0.241,0.297,0.088,0.249,0.662,
2025-11-06T19:11:09,1619.895,339.441,146.570,0.005,0.005,0.002,0.769,0.161,0.070,0.393,0.400,0.207,
2025-11-06T19:11:10,341926.661,62935.600,7129.391,0.164,0.128,0.069,0.830,0.153,0.017,0.454,0.355,0.192,
2025-11-06T19:11:11,25576487.704,5957289.408,921507.961,18.523,14.949,8.917,0.788,0.184,0.028,0.437,0.353,0.210,
2025-11-06T19:11:12,9149293.667,10477012.659,542245.207,5.399,22.829,5.579,0.454,0.519,0.027,0.160,0.675,0.165,
2025-11-06T19:11:13,10617135.831,4375264.023,298196.048,6.828,11.716,2.919,0.694,0.286,0.020,0.318,0.546,0.136,
2025-11-06T19:11:14,17127.225,2109.455,116.688,0.010,0.005,0.002,0.885,0.109,0.006,0.553,0.311,0.136,EVENT_1
2025-11-06T19:11:16,3898.718,1032.653,218.378,0.002,0.004,0.003,0.757,0.201,0.042,0.224,0.451,0.325,
2025-11-06T19:11:17,7008.476,1407.614,189.052,0.027,0.012,0.007,0.814,0.164,0.022,0.589,0.258,0.152,
2025-11-06T19:11:18,1470.704,768.695,138.198,0.001,0.002,0.003,0.619,0.323,0.058,0.179,0.342,0.479,
2025-11-06T19:11:19,1003.671,914.161,126.410,0.001,0.004,0.004,0.491,0.447,0.062,0.080,0.464,0.457,
2025-11-06T19:11:20,6070.324,438.753,171.500,0.001,0.002,0.002,0.909,0.066,0.026,0.231,0.457,0.311,
2025-11-06T19:11:21,951.472,565.852,79.388,0.001,0.002,0.002,0.596,0.354,0.050,0.144,0.410,0.446,
2025-11-06T19:11:22,375.154,344.244,101.520,0.001,0.002,0.002,0.457,0.419,0.124,0.197,0.400,0.402,
2025-11-06T19:11:23,205.433,284.629,104.876,0.001,0.002,0.003,0.345,0.478,0.176,0.104,0.357,0.539,
2025-11-06T19:11:24,871.530,400.383,102.356,0.001,0.002,0.002,0.634,0.291,0.074,0.145,0.380,0.475,
2025-11-06T19:11:25,2104.198,479.277,106.513,0.001,0.002,0.004,0.782,0.178,0.040,0.104,0.266,0.630,
2025-11-06T19:11:26,3472.311,407.591,150.066,0.002,0.002,0.003,0.862,0.101,0.037,0.233,0.340,0.427,
2025-11-06T19:11:27,798.722,215.879,127.911,0.002,0.003,0.002,0.699,0.189,0.112,0.274,0.428,0.298,
2025-11-06T19:11:28,4784.582,966.400,183.072,0.002,0.002,0.002,0.806,0.163,0.031,0.363,0.287,0.350,
2025-11-06T19:11:29,1275.103,169.871,124.695,0.002,0.002,0.002,0.812,0.108,0.079,0.332,0.338,0.330,
2025-11-06T19:11:30,87779.253,5569.554,212.387,0.075,0.030,0.014,0.938,0.060,0.002,0.629,0.250,0.122,
2025-11-06T19:11:31,63350.516,4809.860,257.185,0.054,0.046,0.008,0.926,0.070,0.004,0.502,0.426,0.072,
2025-11-06T19:11:32,4870.769,2184.220,112.477,0.009,0.008,0.003,0.680,0.305,0.016,0.441,0.424,0.135,
2025-11-06T19:11:33,26725.295,10740.334,355.471,0.048,0.044,0.006,0.707,0.284,0.009,0.489,0.452,0.059,
2025-11-06T19:11:34,2587.968,1007.238,174.064,0.009,0.005,0.004,0.687,0.267,0.046,0.509,0.277,0.214,
2025-11-06T19:11:35,8240.856,288.491,124.502,0.007,0.003,0.003,0.952,0.033,0.014,0.510,0.250,0.240,
2025-11-06T19:11:36,8231.041,2153.822,155.955,0.009,0.008,0.004,0.781,0.204,0.015,0.422,0.386,0.192,
2025-11-06T19:11:37,3054.361,579.296,110.941,0.006,0.004,0.004,0.816,0.155,0.030,0.438,0.286,0.275,
2025-11-06T19:11:38,3927.787,668.322,175.976,0.008,0.010,0.006,0.823,0.140,0.037,0.332,0.429,0.239,
2025-11-06T19:11:39,2202.318,289.717,93.983,0.004,0.003,0.003,0.852,0.112,0.036,0.387,0.287,0.326,
2025-11-06T19:11:40,25953.361,7949.649,1358.458,0.074,0.021,0.010,0.736,0.225,0.039,0.698,0.203,0.099,
2025-11-06T19:11:41,13211.611,2233.577,193.662,0.014,0.007,0.006,0.845,0.143,0.012,0.516,0.268,0.216,
2025-11-06T19:11:42,25769.950,8933.493,1086.690,0.154,0.027,0.016,0.720,0.250,0.030,0.784,0.136,0.080,EVENT_2
2025-11-06T19:11:43,14563486.202,6066992.911,405077.675,11.822,21.445,4.924,0.692,0.288,0.019,0.310,0.562,0.129,
2025-11-06T19:11:44,172038.279,39210.436,5043.116,0.242,0.355,0.092,0.795,0.181,0.023,0.351,0.515,0.134,
2025-11-06T19:11:45,4377.483,5824.175,4016.939,0.009,0.043,0.044,0.308,0.410,0.283,0.092,0.448,0.460,
2025-11-06T19:11:46,3461.390,1161.257,134.128,0.008,0.006,0.004,0.728,0.244,0.028,0.457,0.342,0.201,
2025-11-06T19:11:47,1372.210,1927.453,528.263,0.004,0.010,0.008,0.358,0.504,0.138,0.185,0.451,0.364,
2025-11-06T19:11:48,2583.215,832.214,126.479,0.008,0.007,0.004,0.729,0.235,0.036,0.426,0.376,0.197,
2025-11-06T19:11:49,1749665.668,395457.067,26083.813,1.807,1.415,0.345,0.806,0.182,0.012,0.507,0.397,0.097,
2025-11-06T19:11:50,777935.514,82619.537,14066.286,1.019,0.502,0.202,0.889,0.094,0.016,0.591,0.291,0.117,
2025-11-06T19:11:51,240849.356,27033.727,3363.716,0.143,0.105,0.052,0.888,0.100,0.012,0.477,0.351,0.172,
2025-11-06T19:11:52,1473685.337,329528.729,69313.128,1.512,1.634,0.974,0.787,0.176,0.037,0.367,0.397,0.236,
2025-11-06T19:11:53,432932.179,73250.241,11923.396,0.431,0.321,0.154,0.836,0.141,0.023,0.475,0.355,0.170,
2025-11-06T19:11:54,5943.235,1120.197,190.843,0.007,0.003,0.003,0.819,0.154,0.026,0.527,0.258,0.215,
2025-11-06T19:11:55,4351455.602,288863.824,10385.023,8.495,1.519,0.334,0.936,0.062,0.002,0.821,0.147,0.032,
2025-11-06T19:11:56,820.835,519.488,94.678,0.002,0.002,0.003,0.572,0.362,0.066,0.268,0.306,0.426,
2025-11-06T19:11:57,3396.152,2470.706,177.811,0.003,0.006,0.003,0.562,0.409,0.029,0.248,0.499,0.253,
2025-11-06T19:11:58,6233363.358,334924.829,39507.698,4.646,0.652,0.403,0.943,0.051,0.006,0.815,0.114,0.071,
2025-11-06T19:11:59,1886553.693,259287.782,14539.082,1.645,0.661,0.149,0.873,0.120,0.007,0.670,0.269,0.061,
2025-11-06T19:12:00,2600921.896,255673.767,10282.356,1.861,0.546,0.110,0.907,0.089,0.004,0.740,0.217,0.044,
2025-11-06T19:12:01,8221778.492,613854.909,58754.343,6.724,1.772,0.576,0.924,0.069,0.007,0.741,0.195,0.063,
2025-11-06T19:12:02,2507597.084,92075.520,25600.591,1.638,0.246,0.266,0.955,0.035,0.010,0.762,0.114,0.124,
2025-11-06T19:12:03,2104520.482,631446.983,36768.713,1.670,1.288,0.413,0.759,0.228,0.013,0.495,0.382,0.122,
2025-11-06T19:12:04,101949.625,7260.662,448.042,0.131,0.034,0.011,0.930,0.066,0.004,0.744,0.193,0.063,
2025-11-06T19:12:05,2022645.721,321406.071,9164.961,3.019,1.770,0.165,0.860,0.137,0.004,0.609,0.357,0.033,
2025-11-06T19:12:06,22040.762,1373.735,187.609,0.065,0.014,0.007,0.934,0.058,0.008,0.756,0.168,0.076,
2025-11-06T19:12:07,268.701,154.940,78.684,0.001,0.003,0.006,0.535,0.308,0.157,0.133,0.261,0.606,
2025-11-06T19:12:08,841.185,193.628,147.634,0.006,0.004,0.004,0.711,0.164,0.125,0.412,0.280,0.307,
2025-11-06T19:12:09,243.699,263.455,205.430,0.001,0.003,0.005,0.342,0.370,0.288,0.086,0.349,0.566,
2025-11-06T19:12:10,162.471,148.689,134.365,0.001,0.004,0.002,0.365,0.334,0.302,0.164,0.510,0.325,
2025-11-06T19:12:11,323.537,181.662,86.216,0.001,0.004,0.003,0.547,0.307,0.146,0.161,0.490,0.349,
2025-11-06T19:12:12,297.043,157.366,185.446,0.001,0.002,0.006,0.464,0.246,0.290,0.111,0.246,0.644,
2025-11-06T19:12:13,172.363,208.754,122.338,0.001,0.003,0.005,0.342,0.415,0.243,0.116,0.322,0.561,
2025-11-06T19:12:14,427.464,204.030,126.767,0.001,0.002,0.003,0.564,0.269,0.167,0.176,0.342,0.482,
2025-11-06T19:12:15,667.898,164.734,111.791,0.002,0.002,0.004,0.707,0.174,0.118,0.278,0.251,0.472,
2025-11-06T19:12:16,1596.012,551.210,126.004,0.005,0.004,0.003,0.702,0.242,0.055,0.409,0.338,0.253,
2025-11-06T19:12:17,53400.545,9203.591,311.560,0.133,0.065,0.013,0.849,0.146,0.005,0.631,0.307,0.062,
2025-11-06T19:12:18,544257.196,80811.544,4725.257,0.802,0.462,0.124,0.864,0.128,0.008,0.578,0.333,0.089,
2025-11-06T19:12:19,544191.437,44945.048,969.205,1.055,0.416,0.080,0.922,0.076,0.002,0.680,0.268,0.052,
2025-11-06T19:12:20,24629772.158,6651178.807,114419.831,42.040,26.761,2.068,0.785,0.212,0.004,0.593,0.378,0.029,
2025-11-06T19:12:21,814808.140,139014.964,16410.339,1.147,0.896,0.325,0.840,0.143,0.017,0.484,0.378,0.137,
2025-11-06T19:12:22,1183562.255,459053.233,26147.996,4.273,3.827,1.719,0.709,0.275,0.016,0.435,0.390,0.175,
2025-11-06T19:12:23,7802.706,1473.106,189.049,0.007,0.011,0.002,0.824,0.156,0.020,0.326,0.561,0.113,
2025-11-06T19:12:24,1793.781,541.193,104.551,0.002,0.012,0.005,0.735,0.222,0.043,0.098,0.652,0.251,
2025-11-06T19:12:25,2809.211,618.304,132.558,0.017,0.010,0.005,0.789,0.174,0.037,0.532,0.304,0.164,
2025-11-06T19:12:26,27747.063,15055.387,854.953,0.152,0.259,0.064,0.636,0.345,0.020,0.320,0.545,0.135,
2025-11-06T19:12:27,185.053,366.739,131.501,0.001,0.003,0.003,0.271,0.537,0.192,0.162,0.450,0.387,
2025-11-06T19:12:28,819.861,287.017,138.832,0.003,0.005,0.001,0.658,0.230,0.111,0.359,0.486,0.155,
2025-11-06T19:12:29,2613.099,212.606,116.868,0.002,0.003,0.003,0.888,0.072,0.040,0.246,0.362,0.392,
2025-11-06T19:12:30,412.427,500.624,1203.805,0.003,0.003,0.004,0.195,0.236,0.569,0.280,0.318,0.401,
2025-11-06T19:12:31,85.788,213.318,73.017,0.001,0.002,0.004,0.231,0.573,0.196,0.105,0.341,0.554,
2025-11-06T19:12:32,1434.638,701.295,152.045,0.005,0.004,0.003,0.627,0.307,0.066,0.412,0.329,0.259,
2025-11-06T19:12:33,77878.746,13841.341,629.882,0.039,0.082,0.013,0.843,0.150,0.007,0.290,0.615,0.095,
2025-11-06T19:12:34,84366.057,43002.420,2869.104,0.341,0.499,0.098,0.648,0.330,0.022,0.363,0.532,0.105,
2025-11-06T19:12:35,12934.338,2484.545,358.038,0.047,0.019,0.006,0.820,0.157,0.023,0.650,0.265,0.086,
2025-11-06T19:12:36,703.406,868.461,183.828,0.004,0.006,0.004,0.401,0.495,0.105,0.268,0.464,0.268,
2025-11-06T19:12:37,332.722,277.680,124.618,0.001,0.005,0.005,0.453,0.378,0.170,0.096,0.472,0.432,
2025-11-06T19:12:38,7279.377,1466.263,261.318,0.015,0.015,0.007,0.808,0.163,0.029,0.407,0.410,0.182,
2025-11-06T19:12:39,22333.453,6541.849,259.850,0.020,0.021,0.004,0.767,0.225,0.009,0.453,0.463,0.084,
2025-11-06T19:12:40,3328516.715,1020394.016,83507.498,3.248,1.716,2.104,0.751,0.230,0.019,0.460,0.243,0.298,
2025-11-06T19:12:41,56709547.755,10605679.954,515796.126,67.626,34.781,19.478,0.836,0.156,0.008,0.555,0.285,0.160,
2025-11-06T19:12:42,36552646.574,2491640.951,199340.851,25.186,2.719,1.509,0.931,0.063,0.005,0.856,0.092,0.051,
2025-11-06T19:12:43,58049812.475,6693812.693,343889.245,32.537,6.773,1.918,0.892,0.103,0.005,0.789,0.164,0.047,
2025-11-06T19:12:44,63365092.654,4203039.628,380055.239,47.862,14.045,4.941,0.933,0.062,0.006,0.716,0.210,0.074,
2025-11-06T19:12:45,663425.519,192631.894,9966.877,1.584,1.264,0.117,0.766,0.222,0.012,0.534,0.426,0.039,
2025-11-06T19:12:46,2992644.879,1100122.320,135707.352,4.933,9.121,8.208,0.708,0.260,0.032,0.222,0.410,0.369,
2025-11-06T19:12:47,317115.803,246426.996,58435.081,2.197,1.999,1.525,0.510,0.396,0.094,0.384,0.349,0.267,
2025-11-06T19:12:48,754217.116,239614.621,21021.286,3.170,2.498,0.313,0.743,0.236,0.021,0.530,0.418,0.052,
2025-11-06T19:12:49,895539.146,213668.834,10833.776,0.982,0.464,0.100,0.800,0.191,0.010,0.635,0.300,0.065,
2025-11-06T19:12:50,161093.957,53406.475,3356.670,0.558,0.535,0.093,0.739,0.245,0.015,0.470,0.451,0.079,
2025-11-06T19:12:51,8946.220,3384.131,319.869,0.067,0.078,0.010,0.707,0.268,0.025,0.429,0.504,0.067,
2025-11-06T19:12:52,19879393.943,16224129.479,1801962.067,28.534,41.083,18.079,0.524,0.428,0.048,0.325,0.468,0.206,
2025-11-06T19:12:53,96966529.843,38629941.725,3726416.334,87.659,128.493,58.377,0.696,0.277,0.027,0.319,0.468,0.213,
2025-11-06T19:12:54,1960.559,488.226,165.171,0.003,0.005,0.004,0.750,0.187,0.063,0.236,0.440,0.324,
2025-11-06T19:12:55,13524.171,2804.806,425.282,0.015,0.014,0.006,0.807,0.167,0.025,0.425,0.405,0.170,
2025-11-06T19:12:56,8976.185,2282.632,215.550,0.009,0.007,0.004,0.782,0.199,0.019,0.437,0.343,0.219,
2025-11-06T19:12:57,6397.205,1766.243,171.600,0.014,0.024,0.005,0.768,0.212,0.021,0.336,0.547,0.116,
2025-11-06T19:12:58,679.168,283.187,126.420,0.002,0.004,0.003,0.624,0.260,0.116,0.240,0.410,0.350,
2025-11-06T19:12:59,79345.258,32201.638,333.688,0.248,0.213,0.010,0.709,0.288,0.003,0.528,0.452,0.020,
2025-11-06T19:13:00,1058365.132,420914.368,62482.337,2.516,0.984,0.153,0.686,0.273,0.041,0.689,0.269,0.042,
2025-11-06T19:13:01,50852578.813,13202356.424,1170028.022,74.162,81.441,15.954,0.780,0.202,0.018,0.432,0.475,0.093,
2025-11-06T19:13:02,1118849.752,293674.131,7923.697,1.313,1.259,0.357,0.788,0.207,0.006,0.448,0.430,0.122,
2025-11-06T19:13:03,6768252.607,972726.444,67499.777,7.882,1.494,0.837,0.867,0.125,0.009,0.772,0.146,0.082,
2025-11-06T19:13:04,805904.902,336960.965,13158.537,2.841,0.896,0.314,0.697,0.291,0.011,0.701,0.221,0.078,
2025-11-06T19:13:05,85504.088,21603.338,2651.103,0.112,0.271,0.068,0.779,0.197,0.024,0.247,0.601,0.151,
2025-11-06T19:13:06,41187.371,19473.827,1069.108,0.069,0.145,0.050,0.667,0.315,0.017,0.263,0.547,0.190,
2025-11-06T19:13:07,23430.138,3714.194,264.613,0.030,0.015,0.009,0.855,0.136,0.010,0.550,0.279,0.171,
2025-11-06T19:13:08,176017.371,64995.385,3192.215,4.100,4.716,0.284,0.721,0.266,0.013,0.451,0.518,0.031,
2025-11-06T19:13:09,10052.221,3854.170,126.747,0.023,0.030,0.003,0.716,0.275,0.009,0.413,0.532,0.055,
2025-11-06T19:13:10,1903.099,978.876,202.942,0.004,0.006,0.005,0.617,0.317,0.066,0.253,0.434,0.313,
2025-11-06T19:13:11,10849.105,1923.964,389.504,0.019,0.017,0.015,0.824,0.146,0.030,0.376,0.333,0.292,
2025-11-06T19:13:13,40336.748,13533.073,812.324,0.189,0.178,0.041,0.738,0.247,0.015,0.464,0.437,0.099,
2025-11-06T19:13:14,44246.822,8934.629,285.071,0.052,0.035,0.004,0.828,0.167,0.005,0.572,0.381,0.047,
2025-11-06T19:13:15,634.452,289.567,131.257,0.001,0.004,0.002,0.601,0.274,0.124,0.141,0.549,0.310,
2025-11-06T19:13:16,128599.652,39126.775,3866.876,0.160,0.123,0.058,0.749,0.228,0.023,0.468,0.361,0.170,
2025-11-06T19:13:17,240507.665,26786.615,9176.652,0.710,0.317,0.030,0.870,0.097,0.033,0.671,0.300,0.029,
2025-11-06T19:13:18,302392.502,143532.322,4924.679,0.249,0.265,0.078,0.671,0.318,0.011,0.420,0.448,0.132,
2025-11-06T19:13:19,66861.047,20951.346,301.221,0.127,0.097,0.007,0.759,0.238,0.003,0.549,0.420,0.032,
2025-11-06T19:13:20,86312.896,37742.732,444.462,0.170,0.093,0.007,0.693,0.303,0.004,0.632,0.343,0.025,
2025-11-06T19:13:21,2036.365,716.022,112.704,0.007,0.005,0.004,0.711,0.250,0.039,0.469,0.298,0.233,
2025-11-06T19:13:22,858.814,338.650,112.935,0.002,0.003,0.003,0.655,0.258,0.086,0.291,0.316,0.392,
2025-11-06T19:13:23,1347.884,482.017,102.431,0.006,0.004,0.002,0.698,0.249,0.053,0.497,0.311,0.192,
2025-11-06T19:13:24,708.441,128.956,122.903,0.003,0.002,0.002,0.738,0.134,0.128,0.382,0.280,0.338,
2025-11-06T19:13:25,61718.220,2874.444,762.829,0.030,0.029,0.009,0.944,0.044,0.012,0.442,0.429,0.129,
2025-11-06T19:13:26,862.453,304.278,146.098,0.002,0.005,0.003,0.657,0.232,0.111,0.155,0.557,0.288,
2025-11-06T19:13:27,193.673,211.443,159.366,0.001,0.003,0.003,0.343,0.375,0.282,0.123,0.464,0.413,
2025-11-06T19:13:28,29878.836,4521.588,536.373,0.061,0.033,0.015,0.855,0.129,0.015,0.560,0.304,0.136,
2025-11-06T19:13:29,16215.441,6233.227,249.154,0.121,0.047,0.011,0.714,0.275,0.011,0.676,0.264,0.060,
2025-11-06T19:13:30,126208.863,21427.736,1061.245,0.409,0.094,0.038,0.849,0.144,0.007,0.756,0.174,0.070,
2025-11-06T19:13:31,13271.352,4225.430,200.387,0.021,0.045,0.008,0.750,0.239,0.011,0.281,0.617,0.102,
2025-11-06T19:13:32,1944.122,597.465,104.026,0.012,0.003,0.004,0.735,0.226,0.039,0.626,0.166,0.208,
2025-11-06T19:13:33,11989.186,7810.229,2798.823,0.010,0.027,0.026,0.531,0.346,0.124,0.160,0.424,0.416,
2025-11-06T19:13:34,255474.687,10132.471,1300.363,0.124,0.224,0.033,0.957,0.038,0.005,0.325,0.589,0.086,
2025-11-06T19:13:35,27638.106,3378.668,328.748,0.022,0.013,0.006,0.882,0.108,0.010,0.537,0.316,0.148,
2025-11-06T19:13:36,255.477,277.251,166.180,0.001,0.002,0.002,0.366,0.397,0.238,0.203,0.450,0.347,
2025-11-06T19:13:37,557.576,1149.190,6305.595,0.013,0.035,0.162,0.070,0.143,0.787,0.061,0.167,0.772,
2025-11-06T19:13:38,223.294,207.549,135.702,0.001,0.002,0.002,0.394,0.366,0.240,0.264,0.352,0.384,
2025-11-06T19:13:39,382.161,458.635,182.401,0.001,0.002,0.002,0.373,0.448,0.178,0.149,0.405,0.445,
2025-11-06T19:13:40,135.973,261.095,70.743,0.000,0.001,0.002,0.291,0.558,0.151,0.106,0.406,0.488,
2025-11-06T19:13:41,182.896,141.730,140.701,0.000,0.002,0.002,0.393,0.305,0.302,0.106,0.445,0.449,
2025-11-06T19:13:42,207.988,217.876,150.047,0.000,0.002,0.002,0.361,0.378,0.261,0.104,0.468,0.428,
2025-11-06T19:13:43,175.228,222.205,166.008,0.001,0.003,0.002,0.311,0.394,0.295,0.157,0.468,0.374,
2025-11-06T19:13:44,79.060,172.433,134.526,0.001,0.002,0.002,0.205,0.447,0.348,0.125,0.427,0.448,
2025-11-06T19:13:45,152.601,353.298,95.366,0.001,0.002,0.001,0.254,0.588,0.159,0.274,0.447,0.279,
2025-11-06T19:13:46,406.343,283.092,129.459,0.000,0.002,0.002,0.496,0.346,0.158,0.095,0.438,0.466,
2025-11-06T19:13:47,7587.222,3284.148,310.698,0.018,0.007,0.006,0.679,0.294,0.028,0.585,0.239,0.176,
2025-11-06T19:13:48,16841.033,5304.249,379.735,0.037,0.021,0.009,0.748,0.235,0.017,0.563,0.308,0.129,
2025-11-06T19:13:49,363315.419,83621.803,3321.219,0.287,0.196,0.030,0.807,0.186,0.007,0.560,0.382,0.058,
2025-11-06T19:13:50,11487.583,3509.558,177.495,0.007,0.013,0.004,0.757,0.231,0.012,0.299,0.541,0.160,
2025-11-06T19:13:51,574.917,361.421,224.363,0.001,0.002,0.003,0.495,0.311,0.193,0.120,0.360,0.520,EVENT_3
2025-11-06T19:13:53,944.182,636.721,192.796,0.002,0.003,0.003,0.532,0.359,0.109,0.209,0.386,0.405,
2025-11-06T19:13:54,3470.539,4294.548,282.276,0.003,0.009,0.003,0.431,0.534,0.035,0.167,0.608,0.226,
2025-11-06T19:13:55,2811.582,3714.435,9920.745,0.011,0.060,0.233,0.171,0.226,0.603,0.036,0.197,0.767,
2025-11-06T19:13:56,5436.555,1199.381,126.195,0.003,0.004,0.002,0.804,0.177,0.019,0.330,0.412,0.258,
2025-11-06T19:13:57,963.945,425.414,106.488,0.002,0.004,0.002,0.644,0.284,0.071,0.227,0.481,0.292,
2025-11-06T19:13:58,229998.414,31535.144,1064.224,0.244,0.101,0.025,0.876,0.120,0.004,0.661,0.273,0.067,
